gpa:3.61, gre:380.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.67, gre:660.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:4.0, gre:800.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.19, gre:640.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:2.93, gre:520.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.0, gre:760.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.98, gre:560.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.08, gre:400.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.39, gre:540.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.92, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:800.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.22, gre:440.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:760.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.08, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:700.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.44, gre:480.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.87, gre:780.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:2.56, gre:360.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.75, gre:800.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.81, gre:540.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.17, gre:500.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.63, gre:660.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.82, gre:600.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.19, gre:680.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.35, gre:760.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.66, gre:800.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.61, gre:620.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.74, gre:520.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:1.0)
gpa:3.22, gre:780.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.29, gre:520.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.78, gre:540.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.35, gre:760.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.4, gre:600.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:800.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.14, gre:360.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.05, gre:400.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.25, gre:580.0, rank2:0.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:2.9, gre:520.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.13, gre:500.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.68, gre:520.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:2.42, gre:560.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.32, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.15, gre:600.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.31, gre:500.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:2.94, gre:700.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:0.0)
gpa:3.45, gre:460.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.46, gre:580.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:2.97, gre:500.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:2.48, gre:440.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.35, gre:400.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.86, gre:640.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:3.13, gre:440.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.37, gre:740.0, rank2:0.0, rank3:0.0, rank4:1.0 => (admit:0.0)
gpa:3.27, gre:680.0, rank2:1.0, rank3:0.0, rank4:0.0 => (admit:1.0)
gpa:3.34, gre:660.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
gpa:4.0, gre:740.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:1.0)
gpa:3.19, gre:560.0, rank2:0.0, rank3:1.0, rank4:0.0 => (admit:0.0)
